idx,question_type,dataset,kind,correct,tokens,time_s,tok_per_s,forwards,gt_first,pred_first
57,"Irregular Text Recognition","IC15_1811",diff,1,256,6.18,41.4,7,"CLOSING","The image contains the text "CLOSING SALE" repeated in large  bold letters.<eos>"
58,"Irregular Text Recognition","svtp",diff,1,256,4.19,61.1,3,"THREADS","The image contains the word **THREADS**.<eos><eos><eos><eos><eos><eos><eos><eos>"
59,"Irregular Text Recognition","svtp",diff,1,256,5.13,49.9,5,"WORLD","The image contains the word **WORLD**.<eos><eos><eos><eos><eos><eos><eos><eos><e"
60,"Irregular Text Recognition","svtp",diff,1,256,4.68,54.7,4,"CARROLL","The image contains the word **CARROLL**.<eos><eos><eos><eos><eos><eos><eos><eos>"
61,"Irregular Text Recognition","svtp",diff,1,256,5.77,44.4,6,"PARLIAMENT","The image contains the word **Parliament**.<eos><eos><eos><eos><eos><eos><eos><e"
62,"Irregular Text Recognition","svtp",diff,1,256,8.08,31.7,10,"FITNESS","The image contains the word **"FITNESS"** in white  capital letters against a bl"
63,"Irregular Text Recognition","svtp",diff,1,256,9.71,26.4,13,"ALLEN","The image contains the word "Allen" written in a large  bold  sans-serif font. B"
64,"Irregular Text Recognition","svtp",diff,1,256,8.03,31.9,10,"RENT","The image contains a repeating pattern of the word **"rent"** written in a styli"
65,"Irregular Text Recognition","svtp",diff,1,256,4.83,53.0,4,"METHODIST","The image contains the word **METHODIST**.<eos><eos><eos><eos><eos><eos><eos><eo"
66,"Irregular Text Recognition","svtp",diff,1,256,7.08,36.2,8,"TRIPLE","The image contains the word "triple" repeated multiple times in a stylized  red "
67,"Irregular Text Recognition","ct80",diff,1,256,4.86,52.7,4,"arteta","The image contains the word **ARTETA**.<eos><eos><eos><eos><eos><eos><eos><eos><"
68,"Irregular Text Recognition","ct80",diff,1,256,5.04,50.8,4,"hutchinson","The image contains the word **HUTCHINSON**.<eos><eos><eos><eos><eos><eos><eos><e"
69,"Irregular Text Recognition","ct80",diff,1,256,5.06,50.6,4,"bierhoff","The word written in the image is **BIERHOFF**.<eos><eos><eos><eos><eos><eos><eos"
70,"Irregular Text Recognition","ct80",diff,1,256,5.86,43.7,5,"table","The image contains the word **TABLE**.<eos><eos><eos><eos><eos><eos><eos><eos><e"
71,"Irregular Text Recognition","ct80",diff,1,256,5.78,44.3,5,"mobile","The image contains the word **mobile**.<eos><eos><eos><eos><eos><eos><eos><eos><"
72,"Irregular Text Recognition","ct80",diff,1,256,9.97,25.7,11,"invest","The image contains the word **INVEST** written in large  capital letters. Below "
73,"Irregular Text Recognition","ct80",diff,1,256,4.74,54.0,3,"wigan","The word written in the image is **WIGAN**.<turn|><eos><eos><eos><eos><eos><eos>"
74,"Irregular Text Recognition","ct80",diff,1,256,5.85,43.8,5,"dairy","The image contains the word **DAIRY** in large capital letters.<eos><eos><eos><e"
75,"Irregular Text Recognition","ct80",diff,1,256,5.92,43.3,5,"show","The image contains the word **SHOW** in large  red  capital letters.<eos><eos><e"
76,"Irregular Text Recognition","cocotext",diff,1,256,6.66,38.4,6,"Virgin","The image contains the word "Virgin" in a stylized  cursive script font against "
77,"Irregular Text Recognition","cocotext",diff,1,256,4.61,55.5,3,"ATTACK","The word written in the image is **ATTACK**.<eos><eos><eos><eos><eos><eos><eos><"
78,"Irregular Text Recognition","cocotext",diff,1,256,7.89,32.5,8,"DAVIDSON","The image contains the word **Davidson**.<eos><eos><eos><eos><eos><eos><eos><eos"
79,"Irregular Text Recognition","cocotext",diff,0,256,7.87,32.5,8,"VALVE","The image contains the word "WAVE" written in stylized  red  reflective letterin"
80,"Irregular Text Recognition","cocotext",diff,1,256,18.59,13.8,24,"Crisp","The image contains the word **"Crisp"** followed by a long string of repeated le"
81,"Irregular Text Recognition","cocotext",diff,1,256,4.51,56.8,3,"overnite","The word written in the image is **OVERNITE**.<eos><eos><eos><eos><eos><eos><eos"
82,"Irregular Text Recognition","cocotext",diff,1,256,6.99,36.6,7,"KiDS","The image contains the word "KIDS" written in a hand-drawn  stylized font.<eos><"
83,"Irregular Text Recognition","cocotext",diff,1,256,12.39,20.7,15,"this","The image contains the word "this" written in a cursive font  followed by a long"
84,"Irregular Text Recognition","ctw",diff,1,256,5.19,49.3,4,"ANTONIOS","The word in the image is **ANTONIO'S**.<eos><eos><eos><eos><eos><eos><eos><eos><"
85,"Irregular Text Recognition","ctw",diff,1,256,5.74,44.6,5,"TELEPHONE","The image contains the word **TELEPHONE** written in a curved  arched font.<eos>"
86,"Irregular Text Recognition","ctw",diff,1,256,4.44,57.6,3,"CORNERS","The word written in the image is **CORNERS**.<turn|><eos><eos><eos><eos><eos><eo"
87,"Irregular Text Recognition","ctw",diff,1,256,9.04,28.3,10,"COUNTY","The image contains the word **COUNTY** written in white  capital letters on a bl"
88,"Irregular Text Recognition","ctw",diff,1,256,5.78,44.3,5,"TOREADOR","The image contains the word **TOREADOR** written in large  colorful  stylized le"
89,"Irregular Text Recognition","ctw",diff,1,256,8.3,30.8,9,"GAMBOA","The image contains the word **GAMBOA** written in large  arched capital letters."
90,"Irregular Text Recognition","ctw",diff,1,256,6.37,40.2,6,"Coffee","The image contains the word "Coffee" written in large  yellow letters with a dar"
91,"Irregular Text Recognition","ctw",diff,1,256,7.62,33.6,8,"LITTLETON","The image contains the word **LITTLETON** in white capital letters.<eos><eos><eo"
92,"Irregular Text Recognition","totaltext",diff,1,256,6.31,40.6,6,"ATHENS","The image contains the word **"ATHENS"** in a stylized  neon-like font.<eos><eos"
93,"Irregular Text Recognition","totaltext",diff,1,256,7.13,35.9,7,"CORONAD","The image contains the word "CORONAD" written in large  stylized yellow letters."
94,"Irregular Text Recognition","totaltext",diff,1,256,8.87,28.9,10,"SUPER","The image contains the word "SUPER" written in large  red  stylized letters with"
95,"Irregular Text Recognition","totaltext",diff,1,256,5.71,44.8,5,"Security","The image contains the word **Security**.<eos><eos><eos><eos><eos><eos><eos><eos"
96,"Irregular Text Recognition","totaltext",diff,1,256,5.59,45.8,5,"HECHT","The image contains the word **HECHT** written in large  red  capital letters.<eo"
97,"Irregular Text Recognition","totaltext",diff,1,256,4.43,57.7,3,"SHOP","The image contains the word **SHOP**.<eos><eos><eos><eos><eos><eos><eos><eos><eo"
98,"Irregular Text Recognition","totaltext",diff,1,256,11.25,22.7,14,"BAKERY","The image contains the word **BAKERY** written in a stylized  decorative font. B"
99,"Irregular Text Recognition","totaltext",diff,1,256,4.89,52.3,4,"BRIDGE","The image contains the word **BRIDGE**.<eos><eos><eos><eos><eos><eos><eos><eos><"
100,"Artistic Text Recognition","WordArt",diff,1,256,6.2,41.3,6,"marilyn","The image contains the word "Marilyn" written in a stylized  decorative font.<tu"
101,"Artistic Text Recognition","WordArt",diff,0,256,5.61,45.6,5,"Scottynn","The word in the image is **Scotlyn**.<eos><eos><eos><eos><eos><eos><eos><eos><eo"
102,"Artistic Text Recognition","WordArt",diff,1,256,6.29,40.7,6,"Home","The image shows the word "Home" written in a cursive font.<eos><eos><eos><eos><e"
103,"Artistic Text Recognition","WordArt",diff,1,256,4.96,51.6,4,"WORLD","The word written in the image is **WORLD**.<eos><eos><eos><eos><eos><eos><eos><e"
104,"Artistic Text Recognition","WordArt",diff,1,256,5.63,45.4,5,"BEACH","The word in the image is "BEACH"  written vertically.<eos><eos><eos><eos><eos><e"
105,"Artistic Text Recognition","WordArt",diff,1,256,5.0,51.2,4,"Rustic","The image shows the word "Rustic" written in a script font.<eos><eos><eos><eos><"
106,"Artistic Text Recognition","WordArt",diff,1,256,5.73,44.6,5,"teach","The image shows the word "teach" in a cursive script font.<eos><eos><eos><eos><e"
107,"Artistic Text Recognition","WordArt",diff,1,256,4.92,52.1,4,"Jasmine","The word in the image is "Jasmine".<eos><eos><eos><eos><eos><eos><eos><eos><eos>"
108,"Artistic Text Recognition","WordArt",diff,1,256,9.35,27.4,11,"LOVE","The image contains the word "LOVE" written in a stylized  green  dripping font. "
109,"Artistic Text Recognition","WordArt",diff,1,256,6.36,40.3,6,"thankful","The image contains the word **"Thankful"** written in black calligraphy script o"
110,"Artistic Text Recognition","WordArt",diff,1,256,6.18,41.4,6,"LINE","The image contains the word **LINE** written in large  glowing neon-style letter"
111,"Artistic Text Recognition","WordArt",diff,1,256,4.92,52.0,4,"NEWSAGENCY","The image contains the word **NEWSAGENCY**.<eos><eos><eos><eos><eos><eos><eos><e"
112,"Artistic Text Recognition","WordArt",diff,1,256,4.77,53.7,4,"WOODZILLA","The word written in the image is **WOODZILLA**.<eos><eos><eos><eos><eos><eos><eo"
113,"Artistic Text Recognition","WordArt",diff,1,256,6.64,38.5,7,"Playin'","The image contains the word **Playin'** written in a stylized  purple cursive fo"
114,"Artistic Text Recognition","WordArt",diff,1,256,5.0,51.2,4,"Poppi","The image shows the word "Poppi" written in a white  script font.<eos><eos><eos>"
115,"Artistic Text Recognition","WordArt",diff,1,256,5.4,47.4,5,"Times","The word in the image is "Times".<turn|><eos><eos><eos><eos><eos><eos><eos><eos>"
116,"Artistic Text Recognition","WordArt",diff,1,256,5.32,48.1,5,"Wedding","The image contains the word "Wedding" written in a stylized  script font.<eos><e"
117,"Artistic Text Recognition","WordArt",diff,1,256,5.46,46.9,5,"appetit","The image contains the word **appetit** written in a stylized  cursive font.<eos"
118,"Artistic Text Recognition","WordArt",diff,1,256,5.38,47.6,5,"christmas","The image contains the word "Christmas" in a cursive script.<eos><eos><eos><eos>"
119,"Artistic Text Recognition","WordArt",diff,1,256,6.45,39.7,7,"FOOD","The image contains the word "FOOD" written in large  stylized letters.<eos><eos>"
120,"Artistic Text Recognition","WordArt",diff,1,256,5.37,47.6,5,"soul","The image contains the word "**Soul**".<eos><eos><eos><eos><eos><eos><eos><eos><"
121,"Artistic Text Recognition","WordArt",diff,1,256,5.94,43.1,6,"GOOD","The image contains the word **GOOD** written in large  stylized  metallic letter"
122,"Artistic Text Recognition","WordArt",diff,1,256,4.16,61.5,3,"begins.","The word in the image is "begins".<eos><eos><eos><eos><eos><eos><eos><eos><eos><"
123,"Artistic Text Recognition","WordArt",diff,1,256,5.96,42.9,6,"chaos","The image shows the words "sweet chaos" written in cursive.<eos><eos><eos><eos><"
124,"Artistic Text Recognition","WordArt",diff,1,256,6.55,39.1,7,"BOGUS","The image contains the word **BOGUS**.<eos><eos><eos><eos><eos><eos><eos><eos><e"
125,"Artistic Text Recognition","WordArt",diff,1,256,4.27,60.0,3,"GOOD","The word "GOOD" is written in the image.<eos><eos><eos><eos><eos><eos><eos><eos>"
126,"Artistic Text Recognition","WordArt",diff,1,256,4.15,61.6,3,"CONDENSED","The word written in the image is **CONDENSED**.<eos><eos><eos><eos><eos><eos><eo"
127,"Artistic Text Recognition","WordArt",diff,1,256,5.87,43.6,6,"YOUR","The image contains the word "YOUR" written in stylized  dark  textured letters.<"
128,"Artistic Text Recognition","WordArt",diff,1,256,4.67,54.9,4,"GAFFNER","The word written in the image is **GAFFNER**.<eos><eos><eos><eos><eos><eos><eos>"
129,"Artistic Text Recognition","WordArt",diff,1,256,4.77,53.6,4,"Lioness","The word written in the image is **LIONESS**.<eos><eos><eos><eos><eos><eos><eos>"
130,"Artistic Text Recognition","WordArt",diff,1,256,5.99,42.7,6,"Fucks","The image contains the word "Fucks" written in a decorative  white script font a"
131,"Artistic Text Recognition","WordArt",diff,1,256,4.7,54.4,4,"willie","The word "Willie" is written in the image.<eos><eos><eos><eos><eos><eos><eos><eo"
132,"Artistic Text Recognition","WordArt",diff,1,256,4.1,62.4,3,"Christmas","The image contains the word "Christmas".<eos><eos><eos><eos><eos><eos><eos><eos>"
133,"Artistic Text Recognition","WordArt",diff,1,256,6.51,39.3,7,"Together","The image shows the word "Together" written in a colorful  decorative script fon"
134,"Artistic Text Recognition","WordArt",diff,1,256,4.7,54.4,4,"LIVE","The word written in the image is **LIVE**.<eos><eos><eos><eos><eos><eos><eos><eo"
135,"Artistic Text Recognition","WordArt",diff,1,256,5.86,43.7,6,"Welcome","The image shows the word "Welcome" written in cursive script.<eos><eos><eos><eos"
136,"Artistic Text Recognition","WordArt",diff,1,256,11.6,22.1,16,"Order","The image contains the word "**Order**" written in a stylized  cursive font. Bel"
137,"Artistic Text Recognition","WordArt",diff,1,256,4.81,53.3,4,"Friday","The image contains the word "Friday" written in a red  brush-style font against "
138,"Artistic Text Recognition","WordArt",diff,1,256,4.74,54.0,4,"CHARTRES","The image shows the word **CHARTRES** written on individual tiles.<eos><eos><eos"
139,"Artistic Text Recognition","WordArt",diff,1,256,4.13,62.0,3,"CRUNCHY","The image contains the word **CRUNCHY**.<eos><eos><eos><eos><eos><eos><eos><eos>"
140,"Artistic Text Recognition","WordArt",diff,1,256,4.65,55.0,4,"NAILS","The image contains the word **NAILS** in large  stylized pink letters with a whi"
141,"Artistic Text Recognition","WordArt",diff,1,256,4.59,55.8,4,"KERN","The image contains the word **KERN** in large  black  italicized letters against"
142,"Artistic Text Recognition","WordArt",diff,1,256,5.72,44.7,6,"When","The image contains the word "When" written in a dark  stylized font against a ye"
143,"Artistic Text Recognition","WordArt",diff,1,256,4.64,55.2,4,"BEFORE","The image contains the word **BEFORE** written in pink  rounded letters against "
144,"Artistic Text Recognition","WordArt",diff,1,256,5.21,49.2,5,"CLUB","The image contains the word **CLUB** written in large  stylized yellow letters.<"
145,"Artistic Text Recognition","WordArt",diff,1,256,5.23,49.0,5,"Rainbow","The image contains the word "rainbow" written in a decorative  silver script fon"
146,"Artistic Text Recognition","WordArt",diff,1,256,5.25,48.7,5,"Springs","The word "Springs" is written in the image in a pink  stylized script.<eos><eos>"
147,"Artistic Text Recognition","WordArt",diff,1,256,5.72,44.8,6,"face","The image contains the word "face" written in a stylized  white  bubble font wit"
148,"Artistic Text Recognition","WordArt",diff,1,256,4.07,63.0,3,"Fear","The image contains the word "Fear".<eos><eos><eos><eos><eos><eos><eos><eos><eos>"
149,"Artistic Text Recognition","WordArt",diff,1,256,5.3,48.3,5,"BOOTS","The image shows the word **BOOTS** written in large  decorative metal letters.<e"
150,"Handwriting Recognition","IAM",diff,1,256,4.02,63.7,3,"communities","The word in the image is "communities".<eos><eos><eos><eos><eos><eos><eos><eos><"
151,"Handwriting Recognition","IAM",diff,1,256,5.67,45.1,6,"their","The image contains the word "their" written in a cursive  handwritten font.<turn"
152,"Handwriting Recognition","IAM",diff,1,256,5.17,49.6,5,"bread","The image contains the word "bread" written in a handwritten style.<eos><eos><eo"
153,"Handwriting Recognition","IAM",diff,1,256,5.09,50.3,5,"playing","The word in the image is "playing".<turn|><eos><eos><eos><eos><eos><eos><eos><eo"
154,"Handwriting Recognition","IAM",diff,1,256,4.58,55.9,4,"become","The image contains the handwritten word "become" in a cursive script.<eos><eos><"
155,"Handwriting Recognition","IAM",diff,1,256,4.02,63.7,3,"grimly","The word in the image is "grimly".<eos><eos><eos><eos><eos><eos><eos><eos><eos><"
156,"Handwriting Recognition","IAM",diff,1,256,5.69,45.0,6,"both","The image contains the word "both" written in lowercase  hand-drawn letters.<eos"
157,"Handwriting Recognition","IAM",diff,1,256,4.58,55.9,4,"measure","The image contains the word "measure" written in a cursive script.<eos><eos><eos"
158,"Handwriting Recognition","IAM",diff,1,256,4.63,55.2,4,"medium","The image contains the word "medium".<eos><eos><eos><eos><eos><eos><eos><eos><eo"
159,"Handwriting Recognition","IAM",diff,1,256,5.11,50.1,5,"brought","The word in the image is "brought".<eos><eos><eos><eos><eos><eos><eos><eos><eos>"
160,"Handwriting Recognition","IAM",diff,0,256,6.31,40.6,7,"Drugs","The image contains a handwritten signature that appears to read "Darius".<eos><e"
161,"Handwriting Recognition","IAM",diff,0,256,5.13,49.9,5,"strictures","The image contains the word **"richues"** written in a cursive  handwritten font"
162,"Handwriting Recognition","IAM",diff,1,256,4.73,54.1,4,"Lord","The image contains the word "lord" written in a cursive script.<eos><eos><eos><e"
163,"Handwriting Recognition","IAM",diff,1,256,5.64,45.4,6,"seem","The image contains the word "seem".<eos><eos><eos><eos><eos><eos><eos><eos><eos>"
164,"Handwriting Recognition","IAM",diff,1,256,4.06,63.1,3,"think","The word in the image is "think".<eos><eos><eos><eos><eos><eos><eos><eos><eos><e"
165,"Handwriting Recognition","IAM",diff,1,256,3.96,64.6,3,"corners","The word in the image is "corners".<eos><eos><eos><eos><eos><eos><eos><eos><eos>"
166,"Handwriting Recognition","IAM",diff,1,256,4.05,63.3,3,"talk","The image contains the word **TALK**.<eos><eos><eos><eos><eos><eos><eos><eos><eo"
167,"Handwriting Recognition","IAM",diff,1,256,5.11,50.1,5,"vacuum","The image contains the word "vacuum" written in a stylized  handwritten style.<e"
168,"Handwriting Recognition","IAM",diff,1,256,6.26,40.9,7,"experimenta","The image contains the handwritten word: **experimental**<eos><eos><eos><eos><eo"
169,"Handwriting Recognition","IAM",diff,1,256,5.2,49.2,5,"construction","The image contains the word "construction" written in a handwritten style.<eos><"
170,"Handwriting Recognition","IAM",diff,1,256,4.59,55.8,4,"higher","The image contains the word "higher" written in a cursive script.<eos><eos><eos>"
171,"Handwriting Recognition","IAM",diff,1,256,4.67,54.9,4,"absence","The image contains the word "absence".<eos><eos><eos><eos><eos><eos><eos><eos><e"
172,"Handwriting Recognition","IAM",diff,1,256,5.64,45.4,6,"will","The image contains the word "will" written in a cursive  handwritten-style font."
173,"Handwriting Recognition","IAM",diff,1,256,4.01,63.8,3,"shock","The word in the image is "shock".<eos><eos><eos><eos><eos><eos><eos><eos><eos><e"
174,"Handwriting Recognition","IAM",diff,1,256,5.68,45.1,6,"thoroughly","The word written in the image is "thoroughly".<eos><eos><eos><eos><eos><eos><eos"
175,"Handwriting Recognition","IAM",diff,0,256,4.53,56.5,4,"seemed","The image contains the word "selmed" written in a cursive script.<eos><eos><eos>"
176,"Handwriting Recognition","IAM",diff,1,256,4.56,56.2,4,"would","The image contains the word "would".<eos><eos><eos><eos><eos><eos><eos><eos><eos"
177,"Handwriting Recognition","IAM",diff,1,256,4.56,56.1,4,"beer","The image contains the word "beer" written in a cursive script.<eos><eos><eos><e"
178,"Handwriting Recognition","IAM",diff,0,256,5.74,44.6,6,"jump","The image contains a handwritten signature or script. It appears to be the name "
179,"Handwriting Recognition","IAM",diff,1,256,4.56,56.2,4,"quarrel","The word in the image is "quarrel".<eos><eos><eos><eos><eos><eos><eos><eos><eos>"
180,"Handwriting Recognition","IAM",diff,1,256,5.13,49.9,5,"MACLEOD","The word in the image is **MACLEOD**.<eos><eos><eos><eos><eos><eos><eos><eos><eo"
181,"Handwriting Recognition","IAM",diff,0,256,4.05,63.3,3,"planed","The word written in the image is "planned".<eos><eos><eos><eos><eos><eos><eos><e"
182,"Handwriting Recognition","IAM",diff,1,256,4.04,63.4,3,"news","The word in the image is "news".<eos><eos><eos><eos><eos><eos><eos><eos><eos><eo"
183,"Handwriting Recognition","IAM",diff,1,256,4.02,63.6,3,"tread","The image contains the word "tread".<eos><eos><eos><eos><eos><eos><eos><eos><eos"
184,"Handwriting Recognition","IAM",diff,1,256,4.02,63.6,3,"through","The word in the image is "through".<eos><eos><eos><eos><eos><eos><eos><eos><eos>"
